Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
11,Karakash Facility #1,37.29398271,79.63290098,Hotan,Karakash,#N/A,C_HO16,1,10.93,0.5,0,0,0,1,some low walls were removed,20-Nov,0,N/A,,,,,,,1,"No more perimetral wall, cars next to buildings",N/A,5,5,5,0,0,0,0,0.2,N/A,,"A Tier 1 re-education facility in Karakash, Hotan.  Since it was completed, some low walls were removed..",,,20-Apr,,1
12,Chapchal Facility #1,43.81574201,81.15621557,Ili,Chapchal,#N/A,C_GH12,2,3.89,N/A,0,0,1,1,the external wall was expanded and some interior fencing was removed,1stHf2019,1,Two basketball courts and 1 badminton court,Barren,,,,,,0,N/A,2,13,16,16,1,0,7,0,0.7,N/A,It has expanded substantially at the start of 2019 ,"A Tier 2 re-education facility in Chapchal, Ili with an external wall.  Since it was completed, the external wall was expanded and some interior fencing was removed.It has expanded substantially at the start of 2019 .",,,20-Mar,,1
13,Atush Facility #1,39.64031253,75.99340926,Kizilsu,Atush,42,P_AR04,3,22.36,0.6,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,8,8,N/A,0,0,0,0,0.8,N/A,,"A Tier 3 detention centre in Atush, Kizilsu with watchtowers and an external wall. .",,,19-Jun,,0
14,Keriye Facility #1,36.99538938,81.6727222,Hotan,Keriye,#N/A,#N/A,1,19.27,1.2,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,N/A,N/A,15,N/A,0,1,0,2,0.5,N/A,,"A Tier 1 re-education facility in Keriye, Hotan with an external wall. .",,,19-Apr,,0
15,Ghulja Facility #2,43.98060591,81.53575398,Ili,Ghulja,Additional,P_GH07,3,18.12,4.6,1,1,1,0,the external wall was reconstructed,19-Sep,0,N/A,Farmland,N/A,None known,None Known,None known,None Known,0,N/A,0,16,17,19,1,0,0,0,0.1,N/A,,"A Tier 3 detention centre in Ghulja, Ili with watchtowers and interior fencing and an external wall.  Since it was completed, the external wall was reconstructed..",,,20-Apr,,0
16,Korgas Facility #2,44.05893151,80.8504497,Ili,Korgas,64,#N/A,2,2.77,0.6,0,1,1,0,,N/A,1,Two basketball courts,Farmland,,,,,,0,N/A,0,14,N/A,31,1,0,14,0,0.3,N/A,,"A Tier 2 re-education facility in Korgas, Ili with and interior fencing and an external wall. .",,,20-Mar,,0
17,Kargilik Facility #1,37.9141936,77.34715661,Kashgar,Kargilik,#N/A,C_QE36,1,8.63,0.6,0,1,1,1,some interior fencing and watchtowers were removed,2ndHf2019,0,N/A,Farmland,,,,,,0,N/A,8,12,12,N/A,0,0,4,0,0.3,N/A,,"A Tier 1 re-education facility in Kargilik, Kashgar with and interior fencing and an external wall.  Since it was completed, some interior fencing and watchtowers were removed..",,,19-Nov,1,1
18,Kargilik Facility #2,37.91674343,77.35155436,Kashgar,Kargilik,4,C_QE37,2,8.41,0.8,0,0,1,1,watchtowers were removed,19-Nov,0,N/A,Barren,,,,,,0,N/A,0,10,10,N/A,0,0,0,1,0.2,N/A,,"A Tier 2 re-education facility in Kargilik, Kashgar with an external wall.  Since it was completed, watchtowers were removed..",,,19-Nov,,1
19,Yarkant Facility #2,38.41216138,77.14776922,Kashgar,Yarkant,43,P_QE21,4,10.91,0.3,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,0,17,17,17,0,0,0,10,1,N/A,,"A Tier 4 prison in Yarkant, Kashgar with watchtowers and an external wall. .",,,20-Mar,,0
20,Maralbeshi Facility #1,39.77615257,78.54407753,Kashgar,Maralbeshi,#N/A,C_QE21,1,1.43,0.7,0,0,1,0,,N/A,1,Soccer field,Factory,,,,,,0,N/A,0,7,7,N/A,0,0,0,0,0.6,N/A,,"A Tier 1 re-education facility in Maralbeshi, Kashgar with an external wall. .",,,19-Oct,,1
21,Karakash Facility #2,37.25202143,79.72189227,Hotan,Karakash,21,C_HO14,1,3.62,2.2,1,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,N/A,9,9,9,0,0,0,0,0.3,0.7,,"A Tier 1 re-education facility in Karakash, Hotan with watchtowers and an external wall. .",,,20-Apr,,1
22,Jerenbulaq Facility #1,45.69854673,85.15624166,Karamay,Jerenbulaq,Additional,C_QA01,2,3.22,1.5,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,0,6,6,6,0,0,0,1,1,N/A,Next to a tier 3 camp,"A Tier 2 re-education facility in Jerenbulaq, Karamay with an external wall. Next to a tier 3 camp.",,,20-Mar,,0
23,Barkol Facility #1,43.60004034,92.95895535,Qumul,Barkol,#N/A,P_QU05,3,6.42,0.3,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,2,N/A,,"A Tier 3 detention centre in Barkol, Qumul with watchtowers and an external wall. .",,,16-Aug,1,0
24,Cherchen Facility #1,38.14541137,85.52322755,Bayingolun,Cherchen,#N/A,C_KO11,2,0.72,,0,0,1,0,,N/A,1,Garden,Barren,,,,,,0,N/A,2,3,3,3,0,0,0,1,0.4,N/A,,"A Tier 2 re-education facility in Cherchen, Bayingolun with an external wall. .",,,20-Mar,,0
25,Tarbaghatay Facility #1,46.71772327,82.9546977,Tarbaghatay,Tarbaghatay,75,C_CH01,2,5.68,0.3,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,2,4,5,5,1,0,1,0,0.9,N/A,Near a greenhouse park,"A Tier 2 re-education facility in Tarbaghatay, Tarbaghatay with an external wall. Near a greenhouse park.",,,20-Apr,,0
26,Keriye Facility #2,36.83513187,81.7588812,Hotan,Keriye,67,P_HO16,4,9.57,0.2,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,3,N/A,10,N/A,0,0,0,16,3.3,N/A,Next to an industrial park,"A Tier 4 prison in Keriye, Hotan with watchtowers and an external wall. Next to an industrial park.",,,19-Jun,,0
28,Qumul Facility #1,42.85619008,93.48037255,Qumul,Qumul,#N/A,C_QU03,2,6.92,0.9,0,0,1,1,an external wall was expanded,2ndHf2018,0,N/A,School,,,,,,0,N/A,5,6,8,8,1,0,0,0,1,N/A,,"A Tier 2 re-education facility in Qumul, Qumul with an external wall.  Since it was completed, an external wall was expanded..",,,20-Mar,,0
29,Kashgar Facility #1,39.45730113,76.0427286,Kashgar,Kashgar,17,C_QE03,1,5.65,N/A,0,0,1,1,an external fence was completed,2ndHf2019,1,Soccer field,,,,,,,0,N/A,10,10,15,15,1,0,0,0,0.3,N/A,,"A Tier 1 re-education facility in Kashgar, Kashgar with an external wall.  Since it was completed, an external fence was completed..",,,20-Apr,,0
30,Onsu Facility #1,41.08507287,80.39969877,Aksu,Onsu,#N/A,P_AQ08,3,19.46,2.5,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,20,22,N/A,1,1,0,0,4,N/A,Next to another tier 3 camp,"A Tier 3 detention centre in Onsu, Aksu with watchtowers and an external wall. Next to another tier 3 camp.",,,19-Oct,,1
31,Yarkant Facility #3,38.99500399,77.44485955,Kashgar,Yarkant,#N/A,P_QE20,3,26.48,N/A,1,1,1,0,,N/A,0,N/A,Camp,,,,,,0,N/A,9,9,9,9,0,0,3,0,3,N/A,Seems like a camp since 2010,"A Tier 3 detention centre in Yarkant, Kashgar with watchtowers and interior fencing and an external wall. Seems like a camp since 2010.",,,20-Mar,1,0
33,Chaqiliq Facility #1,38.98902588,88.17676452,Bayingolun,Chaqiliq,#N/A,#N/A,4,5.02,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Chaqiliq, Bayingolun. .",,,,,0
34,Korgas Facility #3,44.06313763,80.88063518,Ili,Korgas,#N/A,C_GH17,2,1.64,2.5,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,4,N/A,4,1,0,0,0,1,N/A,,"A Tier 2 re-education facility in Korgas, Ili with an external wall. .",,,20-Mar,,1
35,Hotan City Facility #1,37.11170188,79.97115458,Hotan,Hotan City,6,#N/A,1,8.16,0.6,0,0,0,1,an external fence was built,2ndHf2019,0,N/A,,,,,,,0,N/A,10,10,11,N/A,1,1,0,0,0.4,N/A,,"A Tier 1 re-education facility in Hotan City, Hotan.  Since it was completed, an external fence was built..",,,19-Nov,,0
36,Yarkant Facility #4,38.31713754,77.2103912,Kashgar,Yarkant,43,C_QE32,4,14.33,N/A,0,1,1,1,some watchtowers were removed,2019,0,N/A,Barren,,,,,,0,N/A,N/A,5,6,6,1,0,9,0,0.8,N/A,Factories were added in 2018,"A Tier 4 prison in Yarkant, Kashgar with and interior fencing and an external wall.  Since it was completed, some watchtowers were removed.Factories were added in 2018.",,,20-Mar,,1
37,Cherchen Facility #2,38.10455488,85.57585636,Bayingolun,Cherchen,65,C_KO10,3,7.74,N/A,0,1,1,1,some internal fencing were removed from outside residential buildings,2019,1,Basketball courts added in 2019,Farmland,N/A,None known,None Known,None known,None Known,0,N/A,0,10,14,14,1,0,0,0,1.1,N/A,Attached to a nearby prison constructed in mid-2018,"A Tier 3 detention centre in Cherchen, Bayingolun with and interior fencing and an external wall.  Since it was completed, some internal fencing were removed from outside residential buildings.Attached to a nearby prison constructed in mid-2018.",,,20-Mar,,1
38,Konasheher Facility #1,39.45608388,75.70853025,Kashgar,Konasheher,#N/A,C_QE07,1,20.77,2.9,0,1,1,0,,N/A,0,N/A,Government building,N/A,None known,None Known,None known,None Known,0,N/A,5,5,5,5,0,0,0,0,0.7,N/A,Attached to a nearby tier 3 camp constructed in late 2018,"A Tier 1 re-education facility in Konasheher, Kashgar with and interior fencing and an external wall. Attached to a nearby tier 3 camp constructed in late 2018.",,,20-Mar,,0
39,Ghulja Facility #3,43.97829382,81.49699934,Ili,Ghulja,24,C_GH09,1,22.19,2.6,0,0,0,1,an external wall and watchtower were removed,2ndHf2019,0,N/A,,,,,,,1,Security facilities removed and on factory dismantled,4,4,4,4,0,0,13,0,0.8,N/A,,"A Tier 1 re-education facility in Ghulja, Ili.  Since it was completed, an external wall and watchtower were removed..",,,20-Apr,,1
40,Hotan City Facility #2,37.1300886,79.97057435,Hotan,Hotan City,1,C_HO04,1,5.6,1.6,0,1,1,0,,N/A,1,Some basketball courts,,,,,,,0,N/A,11,20,20,N/A,0,0,0,10,0.7,N/A,,"A Tier 1 re-education facility in Hotan City, Hotan with and interior fencing and an external wall. .",,,19-Nov,,0
41,Lop Facility #1,37.10157175,80.17822868,Hotan,Lop,54,C_HO11,1,4.07,2.7,0,0,1,1,at least one watchtower and some interior fencing has been removed,2018,0,N/A,,,,,,,0,N/A,13,N/A,13,N/A,0,0,1,0,0.3,N/A,Next to a greenhouse park,"A Tier 1 re-education facility in Lop, Hotan with an external wall.  Since it was completed, at least one watchtower and some interior fencing has been removed.Next to a greenhouse park.",,,19-Jul,,1
42,Sanji Facility #1,44.07931412,87.39939785,Sanji,Sanji,#N/A,C_SA01,2,14.74,1,0,1,1,1,"the external wall was substituted with fencing, watchtower were removed",1stHf2019,1,Basketball court and badminton court,Government building,,,,,,0,N/A,3,3,3,N/A,0,0,0,0,0.7,N/A,,"A Tier 2 re-education facility in Sanji, Sanji with and interior fencing and an external wall.  Since it was completed, the external wall was substituted with fencing, watchtower were removed..",,,19-Oct,,1
43,Sanji Facility #2,44.31158357,87.43871061,Sanji,Sanji,#N/A,P_SA03,3,25.33,5,1,1,1,0,,N/A,0,N/A,Barren,N/A,None known,None Known,None known,None Known,0,N/A,19,28,28,28,0,0,6,0,0.2,N/A,"Considerable room for expansion, with another large detention centre located nearby","A Tier 3 detention centre in Sanji, Sanji with watchtowers and interior fencing and an external wall. Considerable room for expansion, with another large detention centre located nearby.",,,19-Jul,,0
44,Shayar Facility #1,41.23243608,82.83073434,Aksu,Shayar,#N/A,P_AQ18,3,5.67,N/A,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,3,3,6,N/A,1,0,0,2,0.8,N/A,Next to a tier 3 camp,"A Tier 3 detention centre in Shayar, Aksu with watchtowers and an external wall. Next to a tier 3 camp.",,,20-Apr,,0
45,Yengisheher Facility #1,39.40760908,76.09392501,Kashgar,Yengisheher,51,C_QE08,1,5.18,N/A,0,0,1,1,an external wall was extended and two watchtowers were removed,2018,0,N/A,School,,,,,,0,N/A,5,9,10,10,1,0,8,0,0.2,N/A,,"A Tier 1 re-education facility in Yengisheher, Kashgar with an external wall.  Since it was completed, an external wall was extended and two watchtowers were removed..",,,20-Mar,,1
46,Sanji Facility #3,44.10276401,86.99607514,Sanji,Sanji,86,P_SA05,3,17.5,0.8,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,2,9,N/A,1,1,0,1,2.7,N/A,Still under construction as of May 2020. Part of a bigger detention complex,"A Tier 3 detention centre in Sanji, Sanji with watchtowers and an external wall. Still under construction as of May 2020. Part of a bigger detention complex.",,,19-Jul,1,0
47,Nilqa Facility #1,43.81637339,82.51524352,Ili,Nilqa,#N/A,P_GH13,3,2.52,N/A,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,3,N/A,0,0,0,0,1.8,N/A,Part of a wider complex,"A Tier 3 detention centre in Nilqa, Ili with watchtowers and an external wall. Part of a wider complex.",,,19-Jun,1,0
48,Aral Facility #1,40.49936926,81.24525793,Aral,Aral,#N/A,C_AQ18,2,8.09,2,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,13,N/A,0,0,6,8,2.4,N/A,,"A Tier 2 re-education facility in Aral, Aral with watchtowers and an external wall. .",,,19-Mar,,0
49,Karakash Facility #3,37.11229892,79.64237106,Hotan,Karakash,7,C_HO12,1,19.7,0.4,0,0,1,1,an external wall was lowered,1stHf2019,0,N/A,Farmland,,,,,,0,N/A,N/A,14,16,N/A,1,1,0,16,2.3,N/A,Part of an industrial park,"A Tier 1 re-education facility in Karakash, Hotan with an external wall.  Since it was completed, an external wall was lowered.Part of an industrial park.",,,19-Nov,,1
50,Dabancheng Facility #1,43.38385,88.28993598,Urumqi,Dabancheng,29,P_UR23,3,3.89,0,1,1,1,0,,N/A,0,N/A,Barren,N/A,None known,None Known,Land development permit,None Known,0,N/A,N/A,40,68,92,1,1,16,0,1.7,N/A,"Largest camp in Xinjiang, examined (but not visited) by BBC in 2018, often visible from the plane window when flying to Urumqi from Southern China. https://medium.com/@shawnwzhang/largest-re-education-camp-d7d6ce15e273","A Tier 3 detention centre in Dabancheng, Urumqi with watchtowers and interior fencing and an external wall. Largest camp in Xinjiang, examined (but not visited) by BBC in 2018, often visible from the plane window when flying to Urumqi from Southern China. https://medium.com/@shawnwzhang/largest-re-education-camp-d7d6ce15e273.",,,20-Mar,,0
51,Tumshuq Facility #1,39.91163536,79.0236617,Tumshuq,Tumshuq,#N/A,C_QE42,2,8.48,5,1,0,1,1,an external wall was expanded,2018/2019,0,N/A,,,,,,,0,N/A,3,N/A,16,N/A,0,0,1,0,2.3,N/A,Large factory building removed in 2019,"A Tier 2 re-education facility in Tumshuq, Tumshuq with watchtowers and an external wall.  Since it was completed, an external wall was expanded.Large factory building removed in 2019.",,,19-Jun,,0
52,Yarkant Facility #5,38.67796066,77.30461277,Kashgar,Yarkant,48,C_QE24,1,38.11,1.2,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,5,5,5,N/A,0,0,1,6,0.6,N/A,,"A Tier 1 re-education facility in Yarkant, Kashgar with an external wall. .",,,19-Nov,,0
53,Cherchen Facility #3,38.10455488,85.57585636,Bayingolun,Cherchen,65,#N/A,2,7.74,N/A,0,1,1,0,,N/A,1,13 various courts,Farmland,,,,,,0,N/A,0,11,11,11,0,0,3,0,1.3,N/A,Next to a tier 3 camp,"A Tier 2 re-education facility in Cherchen, Bayingolun with and interior fencing and an external wall. Next to a tier 3 camp.",,,20-Mar,,1
54,Chapchal Facility #2,43.84089805,81.1650718,Ili,Chapchal,58,C_GH14,1,1.53,N/A,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,7,19,19,14,0,0,0,5,0.6,N/A,,"A Tier 1 re-education facility in Chapchal, Ili with an external wall. .",,,20-Mar,,0
55,Yarkant Facility #6,38.35153109,77.30554674,Kashgar,Yarkant,43,C_QE26,4,11.11,N/A,1,1,1,1,an external wall was expanded to include factories and extra watchtowers were built,2019,0,N/A,Farmland,,,,,,0,N/A,6,6,6,7,0,1,10,0,0.6,N/A,,"A Tier 4 prison in Yarkant, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was expanded to include factories and extra watchtowers were built..",,,20-Mar,1,0
56,Bay Facility #1,41.77132249,81.82417051,Aksu,Bay,#N/A,P_AQ16,3,6.75,1,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,4,N/A,5,N/A,0,0,0,8,1.5,N/A,Part of a wider complex,"A Tier 3 detention centre in Bay, Aksu with watchtowers and an external wall. Part of a wider complex.",,,19-Jun,,0
57,Lop Facility #2,37.05584478,80.21910352,Hotan,Lop,#N/A,P_HO09,3,4.17,0.6,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,0,N/A,9,N/A,0,0,0,3,1.4,N/A,Attached to a Bingtuan settlement.,"A Tier 3 detention centre in Lop, Hotan with watchtowers and an external wall. Attached to a Bingtuan settlement.",,,20-Jun,,0
58,Yengisheher Facility #2,39.38077225,76.07841232,Kashgar,Yengisheher,15,C_QE12,1,4.49,4,0,0,1,1,watchtowers were removed and an external wall was expanded,2018-2019,0,N/A,Residential buildings,,,,,,0,N/A,4,4,7,7,1,0,13,3,0.9,N/A,,"A Tier 1 re-education facility in Yengisheher, Kashgar with an external wall.  Since it was completed, watchtowers were removed and an external wall was expanded..",,,20-Apr,,1
59,Jimsar Facility #1,43.98640353,89.14159881,Sanji,Jimsar,#N/A,C_SA10,3,4.84,0.2,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,6,N/A,0,0,0,25,2.3,N/A,Connected to another tier 3 camp,"A Tier 3 detention centre in Jimsar, Sanji with watchtowers and an external wall. Connected to another tier 3 camp.",,,19-Jul,,0
60,Hotan City Facility #3,37.16352309,79.86693286,Hotan,Hotan City,30,C_HO01,2,8.08,1.4,1,1,1,1,an external wall was expanded and interior fencing were built,2ndHf2018,1,Basketball court,Factory,,,,,,0,N/A,3,3,10,10,1,0,1,0,0.7,N/A,Next to a tier 3 camp,"A Tier 2 re-education facility in Hotan City, Hotan with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was expanded and interior fencing were built.Next to a tier 3 camp.",,,19-Nov,,0
61,Awat Facility #1,40.64680507,80.35459741,Aksu,Awat,#N/A,C_AQ10,1,2.32,1.7,0,0,1,0,,N/A,1,Basketball court,,,,,,,0,N/A,10,10,10,10,0,0,1,2,1.5,0.3,,"A Tier 1 re-education facility in Awat, Aksu with an external wall. .",,,20-Mar,,0
62,Guma Facility #1,37.56739474,78.29427027,Hotan,Guma,#N/A,#N/A,1,7.69,1.3,0,0,1,0,,N/A,1,2 Courts added in 2019,Residential buildings,,,,,,0,N/A,N/A,9,9,9,0,0,3,0,1.8,N/A,Part of a wider complex,"A Tier 1 re-education facility in Guma, Hotan with an external wall. Part of a wider complex.",,,20-Mar,,0
63,Turpan Facility #1,42.95014058,89.24001977,Turpan,Turpan,76,C_TU02,2,6.14,0.4,0,1,1,1,watchtowers were removed,2ndHf2018,0,N/A,,,,,,,0,N/A,N/A,6,6,6,0,0,1,2,2.6,N/A,,"A Tier 2 re-education facility in Turpan, Turpan with and interior fencing and an external wall.  Since it was completed, watchtowers were removed..",,,20-Jan,,1
64,Yarkant Facility #7,38.23621917,77.0965594,Kashgar,Yarkant,76,C_QE33,2,20.4,0.9,1,1,1,1,an external wall was expanded and interior fencing were built,2018-2019,0,N/A,Residential buildings,,,,,,0,N/A,N/A,23,27,27,1,0,12,9,4.1,N/A,Considerable room for expansion,"A Tier 2 re-education facility in Yarkant, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was expanded and interior fencing were built.Considerable room for expansion.",,,20-Mar,1,0
65,Ghulja Facility #4,43.97457649,81.49576354,Ili,Ghulja,24,C_GH07,1,22.2,2.2,0,0,1,1,low external wall was completed in 2018,2018,1,A soccer field was replaced by factories,School,,,,,,0,N/A,8,14,8,9,0,1,0,0,0.8,N/A,,"A Tier 1 re-education facility in Ghulja, Ili with an external wall.  Since it was completed, low external wall was completed in 2018..",,,20-Apr,,0
66,Guma Facility #2,37.56755805,78.241749,Hotan,Guma,#N/A,C_HO19,2,8.89,1.8,0,1,1,1,some internal fencing were removed,1stHf2019,0,N/A,Farmland,,,,,,0,N/A,N/A,16,22,22,1,0,5,0,0.8,N/A,,"A Tier 2 re-education facility in Guma, Hotan with and interior fencing and an external wall.  Since it was completed, some internal fencing were removed..",,,20-Mar,1,1
67,Atush Facility #2,39.66891347,76.09111923,Kizilsu,Atush,Additional,C_AR03,2,10.99,0.1,0,1,1,1,some interior fencing were added,1stHf2018,0,N/A,,,,,,,0,N/A,1,2,2,N/A,0,0,7,31,1.4,N/A,,"A Tier 2 re-education facility in Atush, Kizilsu with and interior fencing and an external wall.  Since it was completed, some interior fencing were added..",,,19-Jun,,0
68,Kargilik Facility #3,37.91330761,77.34906574,Kashgar,Kargilik,4,P_QE23,4,8.38,N/A,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,10,10,10,N/A,0,0,0,17,1.5,N/A,Next to a tier 3 camp,"A Tier 4 prison in Kargilik, Kashgar with watchtowers and an external wall. Next to a tier 3 camp.",,,19-Nov,,0
69,Tekes Facility #1,43.19850478,81.82735456,Ili,Tekes,#N/A,C_GH23,2,3.02,1.8,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,7,7,7,0,0,0,4,0.6,N/A,,"A Tier 2 re-education facility in Tekes, Ili with watchtowers and an external wall. .",,,20-Apr,,0
70,Urumqi Facility #1,43.9977615,87.5166166,Urumqi,Urumqi,#N/A,C_UR02,1,15.93,2.7,0,0,1,1,watchtowers were removed,1stHf2019,0,N/A,,,,,,,0,N/A,4,8,14,14,1,0,1,2,1,N/A,,"A Tier 1 re-education facility in Urumqi, Urumqi with an external wall.  Since it was completed, watchtowers were removed..",,,20-Apr,,1
